comm_id,comm_name,comm_age,sso,migration,exec_spsr,acct_geo,plat_tier,gold_tier,silv_tier,#_lang,#_features,enabled,case_count
a0C00000003Mpro,152,1.42,0,0,1,APAC,0,0,1,1,0,1,37
a0C00000000GLVU,153,5.76,1,0,1,EMEA,0,1,0,1,5,1,240
a0C00000003NCCw,154,1.08,0,0,1,NA,0,1,0,1,0,1,2
a0C00000002Snyr,155,2.94,1,0,1,NA,1,0,0,2,6,1,16
a0C00000000V8hT,156,5.18,1,0,1,NA,1,0,0,11,8,1,384
a0C00000003NYHr,157,0.87,1,1,1,NA,1,0,0,1,5,1,73
a0C00000000WLI2,158,5.07,1,0,1,EMEA,1,0,0,1,7,1,282
a0C00000002bSHx,159,2.73,0,0,1,EMEA,1,0,0,1,4,1,41
a0C00000002MZIW,160,2.99,1,0,1,NA,1,0,0,1,6,1,196
a0C00000000FuGD,161,5.91,0,0,1,NA,0,0,0,2,2,0,146
a0C00000000GMT8,162,5.75,1,0,1,EMEA,0,1,0,2,3,1,379
a0C000000025DbR,163,3.42,1,0,1,EMEA,1,0,0,1,6,1,75
a0C00000002WtM8,164,2.84,1,0,1,EMEA,1,0,0,1,7,1,74
a0C00000003Nb1J,165,0.75,0,0,1,NA,0,1,0,1,0,1,60
a0C00000003NfoX,166,0.57,1,1,1,NA,1,0,0,12,9,1,25
a0C00000000WLHx,167,5.07,1,0,1,EMEA,1,0,0,2,7,1,136
a0C00000003NZlW,168,0.82,1,1,1,NA,1,0,0,2,9,1,37
a0C00000003Nn00,169,0.35,0,1,1,NA,1,0,0,1,0,1,2
a0C00000003NZo6,170,0.82,0,1,1,NA,1,0,0,1,7,1,52
a0C00000001DA20,171,4.37,0,0,1,EMEA,1,0,0,1,7,1,67
a0C00000002yUMq,172,1.61,0,0,1,EMEA,1,0,0,2,6,1,34
a0C00000001IuRi,173,4.32,0,0,1,EMEA,1,0,0,1,6,0,29
a0C00000000DgMw,174,7.98,0,0,1,NA,0,1,0,1,1,0,23
a0C00000003NCDB,175,1.08,1,1,1,NA,0,1,0,1,6,1,8
a0C00000002vyd3,176,1.81,1,0,1,NA,0,0,0,1,3,0,41
a0C00000000EWRZ,177,6.33,0,0,1,NA,0,0,0,1,4,0,101
a0C00000002y1LK,178,1.64,0,0,1,NA,1,0,0,1,0,1,5
a0C00000002MZIb,179,2.99,1,0,1,NA,1,0,0,1,6,1,13
a0C00000002Ecj2,180,3.18,1,0,1,EMEA,0,1,0,1,5,0,32
a0C00000001UwAu,181,4.07,1,0,1,NA,1,0,0,1,9,0,48
a0C00000002Snyw,182,2.94,1,0,1,NA,1,0,0,2,6,1,5
a0C00000000FuE7,183,5.91,0,0,1,NA,0,1,0,1,2,1,66
a0C00000003NjgB,184,0.44,1,0,1,NA,1,0,0,11,6,1,1
a0C00000000E4xi,185,6.94,0,0,1,NA,0,1,0,1,0,0,1
a0C00000002h2jL,186,2.58,1,0,1,EMEA,1,0,0,1,5,1,6
a0C00000000V8hO,187,5.18,1,0,1,NA,1,0,0,1,6,0,88
a0C00000000EFAt,188,6.61,0,0,1,NA,0,0,0,1,0,0,25
a0C00000000pAyf,189,4.84,0,0,1,NA,0,0,0,1,1,0,87
a0C000000023NOn,190,3.47,1,0,1,NA,1,0,0,1,3,0,14
a0C00000001JAmW,191,4.31,0,0,1,EMEA,1,0,0,1,6,0,49
a0C00000000VEZl,192,5.14,0,0,1,NA,0,0,0,1,2,0,10
a0C00000000hHXR,193,4.97,0,0,1,NA,0,0,0,1,1,0,14
a0C00000003N7bL,194,1.13,0,0,1,EMEA,1,0,0,1,6,1,8
a0C00000002Snyc,195,2.94,1,0,1,NA,1,0,0,2,6,1,1
a0C00000002MZIg,196,2.99,1,0,1,NA,1,0,0,2,6,1,3
a0C00000002Snz1,197,2.94,1,0,1,NA,1,0,0,1,6,1,1
a0C00000003NPNs,198,1,0,0,1,EMEA,1,0,0,1,0,1,4
a0C00000003NZoB,199,0.82,0,0,1,NA,1,0,0,1,0,1,1
